"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"10558";10558;"2012-03-21";2;1;3;0;0;3;1;1;0,52;0,5;0,88;0;4;29;33
"12472";12472;"2012-06-08";2;1;6;20;0;5;1;1;0,72;0,6515;0,32;0,1343;117;291;408
"2234";2234;"2011-04-07";2;0;4;22;0;4;1;2;0,4;0,4091;0,76;0,194;18;63;81
"10482";10482;"2012-03-17";1;1;3;20;0;6;0;1;0,56;0,5303;0,64;0,194;89;182;271
"8589";8589;"2011-12-29";1;0;12;15;0;4;1;2;0,3;0,3182;0,52;0,0896;27;150;177
"4386";4386;"2011-07-06";3;0;7;15;0;3;1;1;0,76;0,7273;0,7;0,2836;55;130;185
"7349";7349;"2011-11-07";4;0;11;19;0;1;1;1;0,46;0,4545;0,59;0;20;280;300
"2996";2996;"2011-05-09";2;0;5;17;0;1;1;1;0,62;0,6212;0,38;0,2537;59;539;598
"14003";14003;"2012-08-11";3;1;8;15;0;6;0;1;0,8;0,7273;0,46;0,2836;246;316;562
"11028";11028;"2012-04-09";2;1;4;15;0;1;1;1;0,58;0,5455;0,28;0,5522;82;173;255
"13714";13714;"2012-07-30";3;1;7;14;0;1;1;1;0,8;0,7424;0,49;0,2239;87;167;254
"1210";1210;"2011-02-23";1;0;2;11;0;3;1;1;0,24;0,2576;0,41;0,1045;16;53;69
"9090";9090;"2012-01-19";1;1;1;15;0;4;1;1;0,26;0,2273;0,44;0,2985;9;118;127
"11411";11411;"2012-04-25";2;1;4;15;0;3;1;1;0,58;0,5455;0,19;0,1642;47;182;229
"13131";13131;"2012-07-06";3;1;7;7;0;5;1;1;0,78;0,697;0,46;0,1343;20;333;353
"2728";2728;"2011-04-28";2;0;4;13;0;4;1;2;0,62;0,5758;0,83;0,2985;18;103;121
"11833";11833;"2012-05-13";2;1;5;5;0;0;0;1;0,52;0,5;0,72;0,194;4;8;12
"2550";2550;"2011-04-21";2;0;4;3;0;4;1;2;0,46;0,4545;0,51;0,4627;4;3;7
"2008";2008;"2011-03-29";2;0;3;12;0;2;1;1;0,34;0,3333;0,25;0,1642;29;77;106
"1142";1142;"2011-02-20";1;0;2;8;0;0;0;1;0,2;0,2273;0,51;0,1045;2;22;24
"10940";10940;"2012-04-05";2;1;4;23;0;4;1;1;0,4;0,4091;0,5;0,1343;12;124;136
"14285";14285;"2012-08-23";3;1;8;9;0;4;1;2;0,7;0,6515;0,7;0;58;354;412
"17067";17067;"2012-12-18";4;1;12;21;0;2;1;1;0,36;0,3485;0,5;0,2239;9;159;168
"10236";10236;"2012-03-07";1;1;3;13;0;3;1;1;0,5;0,4848;0,34;0,4179;26;179;205
"6323";6323;"2011-09-26";4;0;9;0;0;1;1;2;0,62;0,5455;0,94;0;6;23;29
"12772";12772;"2012-06-21";3;1;6;8;0;4;1;1;0,74;0,697;0,7;0;27;563;590
"1657";1657;"2011-03-14";1;0;3;14;0;1;1;2;0,38;0,3939;0,34;0;27;52;79
"11687";11687;"2012-05-07";2;1;5;3;0;1;1;1;0,5;0,4848;0,77;0,194;2;3;5
"12648";12648;"2012-06-16";2;1;6;4;0;6;0;1;0,54;0,5152;0,68;0,1343;3;5;8
"17217";17217;"2012-12-25";1;1;12;5;1;2;0;2;0,22;0,2273;0,93;0,1343;2;1;3
"17080";17080;"2012-12-19";4;1;12;10;0;3;1;1;0,32;0,3333;0,7;0,1045;17;147;164
"16515";16515;"2012-11-25";4;1;11;20;0;0;0;1;0,24;0,2879;0,6;0;9;110;119
"10043";10043;"2012-02-28";1;1;2;11;0;2;1;1;0,34;0,3182;0,36;0,2537;8;155;163
"14564";14564;"2012-09-04";3;1;9;0;0;2;1;2;0,7;0,6667;0,84;0,2537;10;19;29
"15014";15014;"2012-09-22";3;1;9;18;0;6;0;1;0,72;0,6667;0,54;0,2836;171;427;598
"16961";16961;"2012-12-14";4;1;12;11;0;5;1;1;0,32;0,303;0,65;0,194;31;180;211
"1946";1946;"2011-03-26";2;0;3;20;0;6;0;2;0,28;0,2727;0,45;0,2537;18;67;85
"1799";1799;"2011-03-20";1;0;3;15;0;0;0;1;0,4;0,4091;0,32;0,0896;172;136;308
"12017";12017;"2012-05-20";2;1;5;21;0;0;0;1;0,64;0,6061;0,69;0,3881;51;182;233
"15464";15464;"2012-10-11";4;1;10;12;0;4;1;1;0,46;0,4545;0,36;0;47;279;326
"442";442;"2011-01-20";1;0;1;10;0;4;1;1;0,26;0,2273;0,48;0,2985;1;56;57
"915";915;"2011-02-10";1;0;2;15;0;4;1;1;0,2;0,197;0,25;0,2537;0;50;50
"605";605;"2011-01-28";1;0;1;10;0;5;1;3;0,18;0,2121;0,86;0,1045;0;49;49
"3527";3527;"2011-05-31";2;0;5;20;0;2;1;1;0,78;0,7424;0,62;0,1045;38;213;251
"10383";10383;"2012-03-13";1;1;3;17;0;2;1;1;0,7;0,6364;0,37;0,1045;62;614;676
"3365";3365;"2011-05-25";2;0;5;2;0;3;1;2;0,56;0,5303;0,94;0;0;8;8
"12029";12029;"2012-05-21";2;1;5;9;0;1;1;3;0,56;0,5303;0,88;0,2239;14;172;186
"15140";15140;"2012-09-28";4;1;9;0;0;5;1;3;0,6;0,5455;0,88;0,1642;2;15;17
"8405";8405;"2011-12-21";1;0;12;20;0;3;1;2;0,5;0,4848;0,94;0,3582;5;162;167
"11514";11514;"2012-04-29";2;1;4;22;0;0;0;1;0,5;0,4848;0,45;0;23;85;108
"3522";3522;"2011-05-31";2;0;5;15;0;2;1;1;0,9;0,8182;0,37;0,1642;42;133;175
"10908";10908;"2012-04-04";2;1;4;15;0;3;1;2;0,64;0,6212;0,44;0,2836;86;182;268
"8887";8887;"2012-01-11";1;1;1;3;0;3;1;1;0,22;0,2727;0,8;0;0;4;4
"9282";9282;"2012-01-27";1;1;1;15;0;5;1;1;0,48;0,4697;0,51;0,3284;27;170;197
"911";911;"2011-02-10";1;0;2;11;0;4;1;1;0,14;0,1212;0,39;0,3582;1;44;45
"7311";7311;"2011-11-06";4;0;11;5;0;0;0;1;0,24;0,2424;0,87;0,1343;0;5;5
"15628";15628;"2012-10-18";4;1;10;8;0;4;1;1;0,46;0,4545;0,82;0,2537;31;803;834
"2707";2707;"2011-04-27";2;0;4;16;0;3;1;1;0,7;0,6515;0,7;0,3881;29;189;218
"11313";11313;"2012-04-21";2;1;4;13;0;6;0;1;0,66;0,6212;0,54;0,2239;291;358;649
"6142";6142;"2011-09-18";3;0;9;11;0;0;0;1;0,52;0,5;0,68;0,2239;116;201;317
"11104";11104;"2012-04-12";2;1;4;20;0;4;1;1;0,44;0,4394;0,33;0,2537;26;254;280
"13764";13764;"2012-08-01";3;1;8;16;0;3;1;1;0,8;0,7576;0,55;0,2836;93;386;479
"1483";1483;"2011-03-07";1;0;3;3;0;1;1;1;0,2;0,1515;0,8;0,5821;0;1;1
"5484";5484;"2011-08-21";3;0;8;9;0;0;0;1;0,72;0,697;0,74;0,2239;80;151;231
"1294";1294;"2011-02-27";1;0;2;1;0;0;0;1;0,26;0,2576;0,87;0,194;7;30;37
"1271";1271;"2011-02-26";1;0;2;2;0;6;0;1;0,22;0,197;0,6;0,3582;3;9;12
"5744";5744;"2011-09-01";3;0;9;18;0;4;1;1;0,72;0,6667;0,54;0,2239;69;462;531
"14339";14339;"2012-08-25";3;1;8;15;0;6;0;2;0,64;0,6061;0,73;0,3284;79;154;233
"12855";12855;"2012-06-24";3;1;6;19;0;0;0;1;0,8;0,7121;0,38;0,2985;176;247;423
"8274";8274;"2011-12-16";4;0;12;9;0;5;1;1;0,36;0,3333;0,46;0,3881;8;235;243
"10884";10884;"2012-04-03";2;1;4;15;0;2;1;1;0,6;0,5909;0,2;0,194;109;207;316
"16233";16233;"2012-11-14";4;1;11;2;0;3;1;1;0,24;0,2121;0,6;0,2985;0;1;1
"14944";14944;"2012-09-19";3;1;9;20;0;3;1;1;0,52;0,5;0,48;0,1642;31;378;409
"11293";11293;"2012-04-20";2;1;4;17;0;5;1;1;0,64;0,6212;0,47;0,2836;122;697;819
"4302";4302;"2011-07-03";3;0;7;3;0;0;0;3;0,68;0,6364;0,65;0,0896;8;25;33
"6657";6657;"2011-10-09";4;0;10;22;0;0;0;2;0,52;0,5;0,94;0;48;104;152
"15750";15750;"2012-10-23";4;1;10;10;0;2;1;1;0,54;0,5152;0,6;0;50;171;221
"4348";4348;"2011-07-05";3;0;7;1;0;2;1;1;0,7;0,6515;0,65;0,1045;15;24;39
"3085";3085;"2011-05-13";2;0;5;10;0;5;1;2;0,52;0,5;0,83;0,1343;31;99;130
"5856";5856;"2011-09-06";3;0;9;11;0;2;1;3;0,54;0,5152;0,83;0,3881;11;78;89
"9276";9276;"2012-01-27";1;1;1;9;0;5;1;3;0,5;0,4848;0,88;0,2836;6;101;107
"13266";13266;"2012-07-11";3;1;7;22;0;3;1;1;0,72;0,6667;0,58;0,2537;41;203;244
"592";592;"2011-01-27";1;0;1;20;0;4;1;1;0,18;0,2121;0,74;0,0896;4;55;59
"9271";9271;"2012-01-27";1;1;1;4;0;5;1;2;0,4;0,4091;1;0,2985;1;3;4
"15123";15123;"2012-09-27";4;1;9;7;0;4;1;1;0,6;0,5758;0,78;0;12;546;558
"2649";2649;"2011-04-25";2;0;4;6;0;1;1;2;0,5;0,4848;1;0;7;59;66
"14721";14721;"2012-09-10";3;1;9;13;0;1;1;1;0,64;0,6212;0,38;0,2239;72;251;323
"5210";5210;"2011-08-09";3;0;8;23;0;2;1;1;0,76;0,6818;0,48;0,2836;22;53;75
"4592";4592;"2011-07-15";3;0;7;5;0;5;1;1;0,6;0,5909;0,73;0,1343;7;16;23
"11157";11157;"2012-04-15";2;1;4;1;0;0;0;2;0,54;0,5152;0,56;0,1642;17;89;106
"6793";6793;"2011-10-15";4;0;10;14;0;6;0;1;0,6;0,6212;0,33;0,4627;242;230;472
"8697";8697;"2012-01-03";1;1;1;4;0;2;1;1;0,16;0,1515;0,55;0,2537;0;5;5
"15599";15599;"2012-10-17";4;1;10;3;0;3;1;1;0,36;0,3788;0,87;0;0;7;7
"12571";12571;"2012-06-12";2;1;6;23;0;2;1;3;0,66;0,5909;0,94;0,2239;11;78;89
"2781";2781;"2011-04-30";2;0;4;18;0;6;0;1;0,54;0,5152;0,43;0,1343;134;237;371
"2041";2041;"2011-03-30";2;0;3;21;0;3;1;2;0,24;0,2273;0,93;0,2537;0;27;27
"6985";6985;"2011-10-23";4;0;10;15;0;0;0;1;0,52;0,5;0,52;0,1642;171;216;387
"233";233;"2011-01-10";1;0;1;23;0;1;1;1;0,14;0,1515;0,59;0,1642;0;18;18
"13645";13645;"2012-07-27";3;1;7;17;0;5;1;1;0,86;0,7879;0,41;0,2836;101;598;699
"17000";17000;"2012-12-16";4;1;12;2;0;0;0;2;0,34;0,3485;0,87;0,0896;8;79;87
"61";61;"2011-01-03";1;0;1;15;0;1;1;1;0,26;0,2424;0,3;0,2537;14;58;72
"3704";3704;"2011-06-08";2;0;6;5;0;3;1;1;0,62;0,5606;0,88;0;0;21;21
"3251";3251;"2011-05-20";2;0;5;8;0;5;1;1;0,54;0,5152;0,68;0;41;476;517
"13159";13159;"2012-07-07";3;1;7;11;0;6;0;1;0,94;0,8788;0,38;0,194;122;245;367
"2383";2383;"2011-04-14";2;0;4;4;0;4;1;1;0,34;0,3636;0,76;0;1;8;9
"7453";7453;"2011-11-12";4;0;11;3;0;6;0;1;0,24;0,2424;0,7;0,1343;4;13;17
"3370";3370;"2011-05-25";2;0;5;7;0;3;1;1;0,62;0,5909;0,73;0,1343;29;284;313
"12620";12620;"2012-06-15";2;1;6;0;0;5;1;1;0,6;0,5909;0,73;0,1642;26;68;94
"766";766;"2011-02-04";1;0;2;8;0;5;1;1;0,14;0,1515;0,74;0,1343;3;217;220
"4078";4078;"2011-06-23";3;0;6;19;0;4;1;1;0,72;0,6818;0,7;0,3582;56;344;400
"116";116;"2011-01-06";1;0;1;0;0;4;1;1;0,18;0,2424;0,55;0;0;11;11
"15580";15580;"2012-10-16";4;1;10;8;0;2;1;1;0,44;0,4394;0,62;0;35;800;835
"3623";3623;"2011-06-04";2;0;6;20;0;6;0;2;0,7;0,6515;0,48;0,0896;90;149;239
"30";30;"2011-01-02";1;0;1;6;0;0;0;3;0,42;0,4242;0,77;0,2985;0;2;2
"40";40;"2011-01-02";1;0;1;16;0;0;0;3;0,34;0,3333;0,71;0,1642;9;67;76
"11180";11180;"2012-04-16";2;1;4;0;1;1;0;1;0,64;0,6212;0,53;0,3284;15;26;41
"8102";8102;"2011-12-09";4;0;12;5;0;5;1;1;0,22;0,2727;0,8;0;0;20;20
"9400";9400;"2012-02-01";1;1;2;13;0;3;1;1;0,46;0,4545;0,47;0,2239;12;174;186
"13047";13047;"2012-07-02";3;1;7;19;0;1;1;1;0,78;0,697;0,43;0,1343;71;510;581
"12921";12921;"2012-06-27";3;1;6;13;0;3;1;1;0,8;0,697;0,27;0,3284;77;244;321
"4817";4817;"2011-07-24";3;0;7;14;0;0;0;1;0,86;0,8182;0,5;0,2836;79;204;283
"13539";13539;"2012-07-23";3;1;7;7;0;1;1;1;0,7;0,6667;0,84;0,1343;17;404;421
"9722";9722;"2012-02-15";1;1;2;0;0;3;1;1;0,32;0,3485;0,57;0;0;22;22
"2443";2443;"2011-04-16";2;0;4;16;0;6;0;3;0,5;0,4848;0,88;0,4627;6;27;33
"2409";2409;"2011-04-15";2;0;4;6;1;5;0;1;0,36;0,3636;0,81;0,0896;5;42;47
"6355";6355;"2011-09-27";4;0;9;8;0;2;1;2;0,64;0,5758;0,89;0,1045;27;400;427
"9160";9160;"2012-01-22";1;1;1;13;0;0;0;2;0,16;0,1818;0,8;0,1343;24;175;199
"3537";3537;"2011-06-01";2;0;6;6;0;3;1;2;0,68;0,6364;0,89;0,0896;7;121;128
"14441";14441;"2012-08-29";3;1;8;21;0;3;1;1;0,66;0,6212;0,54;0,1045;48;265;313
"13396";13396;"2012-07-17";3;1;7;8;0;2;1;2;0,8;0,7576;0,55;0;43;618;661
"15185";15185;"2012-09-29";4;1;9;21;0;6;0;1;0,52;0,5;0,55;0,1343;73;219;292
"6390";6390;"2011-09-28";4;0;9;19;0;3;1;3;0,66;0,6061;0,83;0,2537;57;315;372
"2128";2128;"2011-04-03";2;0;4;12;0;0;0;1;0,44;0,4394;0,38;0,2836;166;147;313
"12802";12802;"2012-06-22";3;1;6;14;0;5;1;1;0,88;0,803;0,39;0,2239;65;198;263
"16751";16751;"2012-12-05";4;1;12;17;0;3;1;1;0,44;0,4394;0,35;0,2836;29;576;605
"15413";15413;"2012-10-09";4;1;10;9;0;2;1;2;0,42;0,4242;0,77;0,2239;37;345;382
"10443";10443;"2012-03-16";1;1;3;5;0;5;1;2;0,4;0,4091;0,87;0,2239;2;30;32
"13407";13407;"2012-07-17";3;1;7;19;0;2;1;1;0,88;0,7879;0,35;0,2537;69;478;547
"9778";9778;"2012-02-17";1;1;2;8;0;5;1;2;0,26;0,303;1;0;4;516;520
"6921";6921;"2011-10-20";4;0;10;23;0;4;1;1;0,42;0,4242;0,58;0,2537;7;83;90
"16881";16881;"2012-12-11";4;1;12;3;0;2;1;3;0,36;0,3333;0,76;0,2836;0;3;3
"12204";12204;"2012-05-28";2;1;5;16;1;1;0;1;0,82;0,7879;0,56;0,3284;223;278;501
"4294";4294;"2011-07-02";3;0;7;19;0;6;0;1;0,8;0,697;0,33;0,2239;156;149;305
"1247";1247;"2011-02-25";1;0;2;1;0;5;1;2;0,32;0,3485;1;0;1;9;10
"15665";15665;"2012-10-19";4;1;10;21;0;5;1;1;0,5;0,4848;0,77;0;17;189;206
"14967";14967;"2012-09-20";3;1;9;19;0;4;1;1;0,58;0,5455;0,6;0,2239;69;534;603
"9209";9209;"2012-01-24";1;1;1;14;0;2;1;1;0,36;0,3485;0,81;0,2239;35;138;173
"7007";7007;"2011-10-24";4;0;10;13;0;1;1;2;0,54;0,5152;0,64;0,2239;60;138;198
"9030";9030;"2012-01-17";1;1;1;2;0;2;1;3;0,28;0,2727;0,75;0,2537;0;12;12
"1504";1504;"2011-03-08";1;0;3;0;0;2;1;1;0,26;0,2879;0,48;0,0896;1;9;10
"3672";3672;"2011-06-06";2;0;6;21;0;1;1;1;0,66;0,6212;0,57;0,0896;29;160;189
"8481";8481;"2011-12-25";1;0;12;0;0;0;0;1;0,24;0,2273;0,6;0,194;2;4;6
"5901";5901;"2011-09-08";3;0;9;9;0;4;1;2;0,62;0,5152;1;0,2537;4;65;69
"7175";7175;"2011-10-31";4;0;10;13;0;1;1;2;0,44;0,4394;0,44;0,2239;24;128;152
"8545";8545;"2011-12-27";1;0;12;18;0;2;1;1;0,38;0,3939;0,87;0,2836;9;126;135
"3967";3967;"2011-06-19";2;0;6;4;0;0;0;2;0,66;0,6212;0,74;0,1343;7;10;17
"5830";5830;"2011-09-05";3;0;9;8;1;1;0;2;0,66;0,6061;0,78;0,194;45;56;101
"6069";6069;"2011-09-15";3;0;9;10;0;4;1;2;0,66;0,6212;0,69;0,2537;25;96;121
"13299";13299;"2012-07-13";3;1;7;7;0;5;1;2;0,7;0,6515;0,54;0;27;353;380
"8";8;"2011-01-01";1;0;1;7;0;6;0;1;0,2;0,2576;0,86;0;1;2;3
"15155";15155;"2012-09-28";4;1;9;15;0;5;1;2;0,68;0,6364;0,54;0,2836;104;288;392
"580";580;"2011-01-26";1;0;1;10;0;3;1;3;0,22;0,2121;0,93;0,2836;2;26;28
"5539";5539;"2011-08-23";3;0;8;16;0;2;1;1;0,72;0,6515;0,32;0,1343;133;311;444
"1129";1129;"2011-02-19";1;0;2;18;0;6;0;1;0,36;0,3182;0,25;0,4478;21;67;88
"16271";16271;"2012-11-15";4;1;11;16;0;4;1;2;0,36;0,3485;0,57;0,194;24;318;342
"12605";12605;"2012-06-14";2;1;6;9;0;4;1;1;0,62;0,6061;0,61;0,2239;45;312;357
"13454";13454;"2012-07-19";3;1;7;18;0;4;1;1;0,86;0,7879;0,41;0,194;93;684;777
"14977";14977;"2012-09-21";3;1;9;5;0;5;1;1;0,5;0,4848;0,82;0;2;47;49
"15257";15257;"2012-10-02";4;1;10;21;0;2;1;3;0,62;0,5455;0,94;0,1045;24;265;289
"4869";4869;"2011-07-26";3;0;7;18;0;2;1;1;0,84;0,7424;0,39;0,3881;68;478;546
"5613";5613;"2011-08-26";3;0;8;18;0;5;1;2;0,74;0,7121;0,74;0,1343;40;370;410
"8470";8470;"2011-12-24";1;0;12;13;0;6;0;1;0,34;0,303;0,39;0,2985;24;97;121
"17167";17167;"2012-12-23";1;1;12;1;0;0;0;1;0,22;0,2273;0,47;0,194;1;19;20
"3975";3975;"2011-06-19";2;0;6;12;0;0;0;2;0,74;0,6818;0,55;0,0896;141;255;396
"8524";8524;"2011-12-26";1;0;12;21;1;1;0;1;0,26;0,303;0,7;0;10;39;49
"6824";6824;"2011-10-16";4;0;10;21;0;0;0;1;0,54;0,5152;0,52;0,3881;14;88;102
"12629";12629;"2012-06-15";2;1;6;9;0;5;1;1;0,62;0,6061;0,65;0,1642;58;308;366
"15232";15232;"2012-10-01";4;1;10;20;0;1;1;3;0,54;0,5152;0,68;0;11;251;262
"9362";9362;"2012-01-30";1;1;1;23;0;1;1;1;0,26;0,2576;0,6;0,194;0;52;52
"2946";2946;"2011-05-07";2;0;5;15;0;6;0;1;0,6;0,6212;0,38;0,2537;148;230;378
"15351";15351;"2012-10-06";4;1;10;19;0;6;0;1;0,48;0,4697;0,55;0,2239;102;239;341
"2520";2520;"2011-04-19";2;0;4;21;0;2;1;2;0,5;0,4848;0,72;0,1343;8;114;122
"8760";8760;"2012-01-05";1;1;1;19;0;4;1;1;0,34;0,3485;0,34;0,0896;10;255;265
"1474";1474;"2011-03-06";1;0;3;17;0;0;0;3;0,34;0,303;1;0,2985;2;23;25
"5495";5495;"2011-08-21";3;0;8;20;0;0;0;1;0,7;0,6667;0,79;0,2537;41;140;181
"8341";8341;"2011-12-19";4;0;12;4;0;1;1;1;0,16;0,1818;0,86;0,1343;0;4;4
"4782";4782;"2011-07-23";3;0;7;3;0;6;0;1;0,78;0,7576;0,66;0,0896;6;16;22
"6032";6032;"2011-09-13";3;0;9;21;0;2;1;1;0,64;0,5909;0,78;0,1642;45;200;245
"534";534;"2011-01-24";1;0;1;9;0;1;1;1;0,06;0,1515;0,41;0;4;98;102
"17081";17081;"2012-12-19";4;1;12;11;0;3;1;1;0,4;0,4091;0,54;0,2239;31;169;200
"7573";7573;"2011-11-17";4;0;11;3;0;4;1;2;0,42;0,4242;0,77;0,3284;0;3;3
"5156";5156;"2011-08-07";3;0;8;17;0;0;0;3;0,74;0,7121;0,74;0,6418;63;131;194
"14073";14073;"2012-08-14";3;1;8;13;0;2;1;1;0,8;0,7273;0,46;0,0896;83;203;286
"495";495;"2011-01-22";1;0;1;16;0;6;0;1;0,12;0,1364;0,28;0,194;11;72;83
"2135";2135;"2011-04-03";2;0;4;19;0;0;0;2;0,42;0,4242;0,44;0,194;51;93;144
"5755";5755;"2011-09-02";3;0;9;5;0;5;1;2;0,6;0,5606;0,83;0,1343;0;20;20
"12928";12928;"2012-06-27";3;1;6;20;0;3;1;1;0,76;0,6667;0,31;0,194;76;369;445
"2884";2884;"2011-05-05";2;0;5;1;0;4;1;1;0,34;0,3333;0,71;0,194;4;6;10
"3005";3005;"2011-05-10";2;0;5;2;0;2;1;1;0,44;0,4394;0,58;0,1343;1;4;5
"1798";1798;"2011-03-20";1;0;3;14;0;0;0;1;0,4;0,4091;0,3;0;145;134;279
"7791";7791;"2011-11-26";4;0;11;5;0;6;0;1;0,3;0,3182;0,75;0,1045;0;3;3
"12693";12693;"2012-06-18";2;1;6;1;0;1;1;1;0,54;0,5152;0,77;0,2239;9;5;14
"10127";10127;"2012-03-03";1;1;3;0;0;6;0;3;0,36;0,3636;0,93;0,0896;1;21;22
"8890";8890;"2012-01-11";1;1;1;6;0;3;1;1;0,2;0,2121;0,86;0,1343;2;72;74
"11443";11443;"2012-04-26";2;1;4;23;0;4;1;1;0,5;0,4848;0,88;0,1642;6;106;112
"9281";9281;"2012-01-27";1;1;1;14;0;5;1;1;0,5;0,4848;0,55;0,5522;23;153;176
"5143";5143;"2011-08-07";3;0;8;4;0;0;0;1;0,7;0,6667;0,84;0,1343;1;5;6
"6117";6117;"2011-09-17";3;0;9;10;0;6;0;2;0,5;0,4848;0,68;0,2836;72;177;249
"4227";4227;"2011-06-30";3;0;6;0;0;4;1;1;0,66;0,6212;0,5;0,1642;15;39;54
"1733";1733;"2011-03-17";1;0;3;20;0;4;1;1;0,42;0,4242;0,67;0,2239;25;112;137
"11692";11692;"2012-05-07";2;1;5;8;0;1;1;2;0,5;0,4848;0,82;0,194;31;608;639
"9109";9109;"2012-01-20";1;1;1;10;0;5;1;2;0,22;0,2121;0,44;0,2836;1;96;97
"11676";11676;"2012-05-06";2;1;5;16;0;0;0;2;0,62;0,6061;0,61;0;181;363;544
"13053";13053;"2012-07-03";3;1;7;1;0;2;1;1;0,72;0,6667;0,58;0;5;9;14
"9958";9958;"2012-02-24";1;1;2;22;0;5;1;1;0,4;0,4091;0,37;0,5821;4;102;106
"7439";7439;"2011-11-11";4;0;11;13;1;5;0;1;0,38;0,3939;0,37;0,5522;57;179;236
"487";487;"2011-01-22";1;0;1;8;0;6;0;1;0,02;0;0,44;0,3284;1;26;27
"9337";9337;"2012-01-29";1;1;1;22;0;0;0;1;0,32;0,2879;0,26;0,3881;7;57;64
"8541";8541;"2011-12-27";1;0;12;14;0;2;1;3;0,42;0,4242;0,82;0,3881;0;14;14
"7526";7526;"2011-11-15";4;0;11;4;0;2;1;1;0,56;0,5303;0,64;0,2985;1;6;7
"7750";7750;"2011-11-24";4;0;11;12;1;4;0;1;0,46;0,4545;0,36;0,2239;62;88;150
"12788";12788;"2012-06-22";3;1;6;0;0;5;1;2;0,76;0,7273;0,7;0,1045;16;77;93
"11785";11785;"2012-05-11";2;1;5;5;0;5;1;1;0,42;0,4242;0,47;0,1642;3;23;26
"6603";6603;"2011-10-07";4;0;10;16;0;5;1;1;0,64;0,6212;0,44;0;73;346;419
"11132";11132;"2012-04-14";2;1;4;0;0;6;0;1;0,4;0,4091;0,58;0,1343;11;85;96
"455";455;"2011-01-20";1;0;1;23;0;4;1;2;0,24;0,2121;0,65;0,3284;3;28;31
"13390";13390;"2012-07-17";3;1;7;2;0;2;1;1;0,72;0,6818;0,7;0,0896;1;6;7
"4356";4356;"2011-07-05";3;0;7;9;0;2;1;1;0,74;0,6818;0,58;0,1343;50;177;227
"6070";6070;"2011-09-15";3;0;9;11;0;4;1;2;0,68;0,6364;0,65;0,1343;39;120;159
"6125";6125;"2011-09-17";3;0;9;18;0;6;0;2;0,52;0,5;0,72;0,2239;95;234;329
"2933";2933;"2011-05-07";2;0;5;2;0;6;0;1;0,42;0,4242;0,82;0,0896;5;47;52
"15148";15148;"2012-09-28";4;1;9;8;0;5;1;1;0,6;0,5606;0,83;0,0896;31;674;705
"3770";3770;"2011-06-10";2;0;6;23;0;5;1;1;0,72;0,697;0,74;0,1642;36;110;146
"9023";9023;"2012-01-16";1;1;1;19;1;1;0;1;0,26;0,2424;0,56;0,2836;10;134;144
"5284";5284;"2011-08-13";3;0;8;1;0;6;0;2;0,68;0,6364;0,57;0,0896;13;64;77
"9744";9744;"2012-02-15";1;1;2;22;0;3;1;1;0,34;0,3485;0,49;0,1045;3;104;107
"8602";8602;"2011-12-30";1;0;12;4;0;5;1;1;0,24;0,2576;0,7;0,0896;0;2;2
"4295";4295;"2011-07-02";3;0;7;20;0;6;0;1;0,76;0,6818;0,45;0,2836;136;148;284
"14481";14481;"2012-08-31";3;1;8;13;0;5;1;1;0,88;0,7576;0,27;0,3284;97;271;368
"7232";7232;"2011-11-02";4;0;11;22;0;3;1;1;0,36;0,3485;0,71;0,1343;7;99;106
"394";394;"2011-01-17";1;0;1;21;1;1;0;3;0,16;0,1515;0,8;0,194;3;24;27
"14702";14702;"2012-09-09";3;1;9;18;0;0;0;1;0,66;0,6212;0,36;0,2537;156;404;560
"14768";14768;"2012-09-12";3;1;9;12;0;3;1;1;0,68;0,6364;0,36;0,1343;88;264;352
"12510";12510;"2012-06-10";2;1;6;10;0;0;0;1;0,76;0,6818;0,4;0,1045;148;265;413
"5035";5035;"2011-08-02";3;0;8;16;0;2;1;1;0,9;0,7727;0,25;0,2836;58;216;274
"1472";1472;"2011-03-06";1;0;3;15;0;0;0;3;0,44;0,4394;1;0,2239;3;4;7
"17156";17156;"2012-12-22";1;1;12;14;0;6;0;1;0,32;0,2879;0,36;0,4627;20;141;161
"4123";4123;"2011-06-25";3;0;6;16;0;6;0;1;0,76;0,6818;0,43;0,2985;175;235;410
"3215";3215;"2011-05-18";2;0;5;20;0;3;1;3;0,56;0,5303;0,88;0,1343;24;189;213
"6359";6359;"2011-09-27";4;0;9;12;0;2;1;2;0,66;0,5909;0,89;0,1343;33;129;162
"8135";8135;"2011-12-10";4;0;12;14;0;6;0;1;0,34;0,303;0,31;0,3284;51;242;293
"16785";16785;"2012-12-07";4;1;12;3;0;5;1;2;0,26;0,2576;0,81;0,194;0;5;5
"5662";5662;"2011-08-29";3;0;8;8;0;1;1;1;0,62;0,6212;0,57;0,2537;20;384;404
"4252";4252;"2011-07-01";3;0;7;1;0;5;1;1;0,66;0,6212;0,5;0;15;16;31
"4714";4714;"2011-07-20";3;0;7;7;0;3;1;2;0,7;0,6667;0,84;0,1045;27;276;303
"5803";5803;"2011-09-04";3;0;9;5;0;0;0;1;0,64;0,5758;0,83;0,1343;1;5;6
